id,milestone,item,priority,status,ref,note
PLN-001,M1,versions.py: FsVersion value object with the 26.XXX scheme; ordered registry read from commands/_meta.yaml; display aliases; UnknownVersionError,P0,done,SAD Section 2,Ordering comes from the list position never from string or float comparison; done 2026-07-21 commit 1a0957d; tests/test_versions.py green in CI run 29845795014
PLN-002,M1,Command database schema and loader: CommandRegistry.load() and per-version views; schema fields layout/phase/args/manual_ref/versions/status,P0,done,SAD Section 3,pydantic backend per the engineering policy of 2026-07-21; verified and broken require a committed report at model level; done 2026-07-21 commits eed59dc and 7097196 (schema extensions on manual evidence)
PLN-003,M1,Draft the core steady command set with manual page citations,P0,done,SAD Section 14,All four families approved 2026-07-21 (actuator disc / probes and sections / motions / SWEEPER) delivered as complete chapters: 113 entries versus the ~40 estimate; statuses documented only for 26.120 (evidence-strict); done commits 7097196 58f1ed5 2f5aa44
PLN-004,M1,Tier 1 database tests: schema integrity and status-evidence checks pass on the drafted set,P0,done,DLV-004 Section 7,M1 exit criterion met 2026-07-21: 27 tier 1 tests green in CI run 29845795014 (commit 5233956)
PLN-005,M2,Script builder with phase ordering and validating emit; curated helpers; files/ layout; local executor; campaign loop; manifest; loads parser; goldens; legacy matrix reader,P0,done,SAD Sections 4 to 8,Exit met and content complete 2026-07-21 (HND-003 to HND-009):builder core delivered 2026-07-21 (Script with validating emit / phase ordering / five layout renderers / raw flag; steady polar golden; 13 builder tests); curated helper layer delivered 2026-07-21 (script/helpers.py with 14 workflow helpers; cross-reference ledger with declare_existing; INITIALIZE_SOLVER and SET_FREESTREAM gaps closed in the database; two helper goldens; suite at 63 tests); files workspace and local executor delivered 2026-07-21 (CampaignWorkspace with staging hashes / RunRecord manifest with atomic append / archive-clean refusals; LocalExecutor with the documented -hidden --script argv and FlightStreamLog capture; suite at 82 tests); cases SIM model and campaign loop delivered 2026-07-21 (SimCase / SweepAxis / Campaign with campaign.toml loading; ScriptRecipe protocol with module:function resolution and registry; run_campaign with the six statuses / CampaignErrors / OutcomeAssessor seam; tier 1 end-to-end dry run passing; suite at 96 tests); results parsers and standard assessor delivered 2026-07-21 (labeled_value / delimited_table / parse_loads / parse_residual_history with sanitized fixtures from real 26.120 output; LoadsAssessor with residual and steady-iteration judgments; FR-18 lax version cross-check recording string and build verbatim; suite at 107 tests); M2 exit criterion met 2026-07-21 (real local run CONVERGED on 26.120 from _private/exe, reports/RPT-001; NUL scrub fix in parse_residual_history from real-log evidence); legacy matrix reader delivered 2026-07-21 (cases/matrix_legacy.py with the verified 15-column layout / AL-BE sweep codes / lossless code preservation; convert_matrix TOML round-trips through load_campaign; suite at 117 tests)
PLN-006,M2,Confirm xarray as runtime dependency behind the ResultArray facade,P1,planned,SAD Section 9,Geovana's confirmation pending; marked in pyproject.toml
PLN-007,M3,Tier 2 probe harness and first compat report for 26.120; apply-compat promotion,P0,done,SAD Section 11,Done 2026-07-21 (HND-010): qa/probes with sentinel-wrapped scripts / three failure signals / mandatory effect assertion / baseline environment guard; qa/compat report pair and apply_compat with schema re-validation; pyfs-qa entry point; real pilot on 26.120 build #7012026 with PRINT / STOP / RUN_SCRIPT verified in reports/compat/CMP-26120_2026-07-21 and promoted citing it; suite at 135 tier 1 tests
PLN-008,M4,PHY-01/02 physics cases plus version-comparison suite (synthetic committed; SMI local only),P0,done,SAD Section 11,PHY-01 done end to end 2026-07-21 (HND-012): mesh-import family; qa/geometry NACA STL generator; qa/physics banded-reference harness with pyfs-qa physics and update-reference; reports PHY-26120_2026-07-21 and _banded (6 pass); reference seeded (commit 0e20fbb). PHY-02 done same day (HND-013): SET_ANALYSIS_SYMMETRY_LOADS calibrated on the real solver (post-MIRROR default is ENABLE; DISABLE halves loads and exposes CMx); half/full equivalence delta_CL +0.0015 delta_CDi 0.0; reports _phy02 and _full (10 pass); reference seeded (commit 27ea057). Drift suite done same day (HND-014, design approved by Geovana): qa/drift reuses the PHY registry with MetricSpec bands centered on the baseline; degenerate 26.120 self-comparison proved the machinery (10 pass, zero deltas); scoped 26.100 backfill (27 commands documented from the 26.1 manual, grammars identical; SONIC_VELOCITY already deprecated in 26.1); first real drift DRF-26100-26120 10 pass, zero deltas. SMI class done same day (HND-015, Geovana asked for the whole M4 scope): SMI-01 (28_B) and SMI-02 (31_WBH_IH0) behind --smi-root; first measurements and seeded references on 26.120; capstone DRF-26100-26120_complete 17 pass 1 warn (SMI-01 CMy 0.8 percent to triage, PLN-013). PLN-008 done
PLN-009,M5,Docs: command reference and compatibility matrix generated from the database; steady polar example,P0,done,DLV-004 Section 7,Done 2026-07-21 (HND-016): reference and matrix generated at build time from reference.py via mkdocs-gen-files/literate-nav (never committed); strict build green; steady polar example executed on 26.120 (slope 4.83/rad vs anchor 5.03); percent-format rendered by percent_script_markdown; suite at 179 tests
PLN-011,M3,Probe specification sweep toward full 26.120 coverage: file_io family first (file-artifact effects; no prelude) then minimal-model preludes for the solver families; new dated compat report and promotions per batch,P0,done,SAD Section 11,Done 2026-07-21 (HND-011): 109-spec catalog in qa/specs.py with tiered preludes / recon-pinned instruments / abort attribution fix; full sweep on 26.120 build #7012026 landed reports/compat/CMP-26120_2026-07-21_full (64 verified / 4 broken / 44 unprobed with reasons) and 68 promotions via apply-compat; M3 closed
PLN-012,M3,Probe follow-ups: manual re-review of the four broken commands (AIR_ALTITUDE units; SET_MOTION_START_TIME / NEW_OFF_BODY_STREAMLINE / NEW_SURFACE_SECTION_DISTRIBUTION aborts); effect instruments for the unobservable setters; input-file fixtures for SET_PROP_ACTUATOR_PROFILE and the FSI pair,P2,planned,SAD Section 11,Evidence lines and reasons live in CMP-26120_2026-07-21_full; unprobed statuses stay documented until instruments exist. 2026-07-21 legacy-case reproduction (HND-019) narrowed the NEW_SURFACE_SECTION_DISTRIBUTION triage: the command runs pre-solve with the undocumented INCLUDE_SYMMETRY keyword on build 7012026 while the aborting probe ran it post-solve; re-probe with the corrected phase and extended grammar on the next licensed sweep
PLN-010,M5,pyflightstream.help(): self-contained HTML command reference rendered from CommandRegistry and opened via webbrowser; layer 2 at M5 points to the mkdocs site with the generated page as offline fallback,P1,done,Conversation 2026-07-21 (Geovana agreed),Layer 1 delivered 2026-07-21 (reference.py; 4 tier 1 tests; smoke run 42 kB page); stdlib rendering per the engineering policy; no new runtime dependency; layer 2 stays with PLN-009
PLN-013,M5,Triage the SMI-01 CMy drift warn (0.8 percent between builds 5012026 and 7012026): re-run for repeatability then per-boundary comparison on 28_B; decide solver change vs case sensitivity vs noise,P2,done,reports/physics/DRF-26100-26120_2026-07-21_complete,"Done 2026-07-21 (HND-016): deterministic solver change between builds 5012026 and 7012026 (bit-identical reruns, same fsm sha256, single boundary); reference untouched, WARN stands by design; evidence TRI-SMI01-CMy_2026-07-21 and the smi01-triage-rerun report pairs"
